451976;5884802;-5.347;-4.733082657;-5.347
451978;5884802;-4.958;-4.392246281;-4.958
451980;5884802;-4.527;-4.011201464;-4.527
451972;5884804;-6.119;-5.492157283;-6.119
451974;5884804;-5.738;-5.159268586;-5.738
451976;5884804;-5.33;-4.800502503;-5.33
451978;5884804;-4.953;-4.476257538;-4.953
451980;5884804;-4.601;-4.182465016;-4.601
451968;5884806;-7.098;-6.458129586;-7.098
451970;5884806;-6.552;-5.960372232;-6.552
451972;5884806;-6.129;-5.58605889;-6.129
451974;5884806;-5.747;-5.255655201;-5.747
451976;5884806;-5.395;-4.960253276;-5.395
451978;5884806;-5.043;-4.671194807;-5.043
451980;5884806;-4.691;-4.388605033;-4.691
451966;5884808;-7.53;-6.925508046;-7.53
451968;5884808;-6.984;-6.427826213;-6.984
451970;5884808;-6.541;-6.035416073;-6.541
451972;5884808;-6.189;-5.738503663;-6.189
451974;5884808;-5.837;-5.44767345;-5.837
451976;5884808;-5.485;-5.163427701;-5.485
451978;5884808;-5.133;-4.884655689;-5.133
451980;5884808;-4.781;-4.608067165;-4.781
451962;5884810;-8.508;-7.89062659;-8.508
451964;5884810;-7.976;-7.406758179;-7.976
451966;5884810;-7.506;-6.986503366;-7.506
451968;5884810;-7.036;-6.570196669;-7.036
451970;5884810;-6.631;-6.224633757;-6.631
451972;5884810;-6.279;-5.938655537;-6.279
451974;5884810;-5.927;-5.658639362;-5.927
451976;5884810;-5.575;-5.381931902;-5.575
451978;5884810;-5.223;-5.103344357;-5.223
451960;5884812;-9;-8.41780707;-9
451962;5884812;-8.53;-7.996877057;-8.53
451964;5884812;-8.06;-7.579307289;-8.06
451966;5884812;-7.59;-7.167074898;-7.59
451968;5884812;-7.12;-6.761322739;-7.12
451970;5884812;-6.721;-6.43287487;-6.721
451972;5884812;-6.369;-6.155677366;-6.369
451974;5884812;-6.017;-5.878259027;-6.017
451976;5884812;-5.665;-5.593410423;-5.665
451978;5884812;-5.313;-5.291373937;-5.313
451956;5884814;-9.865;-9.269924176;-9.865
451958;5884814;-9.406;-8.859494406;-9.406
451960;5884814;-9.083;-8.587805677;-9.083
451962;5884814;-8.613;-8.17398856;-8.613
451964;5884814;-8.143;-7.766452999;-8.143
451966;5884814;-7.673;-7.365429111;-7.673
451968;5884814;-7.203;-6.96942255;-7.203
451970;5884814;-6.813;-6.65465499;-6.813
