0;451976;5884802;-5.347;-4.733082657
1;451978;5884802;-4.958;-4.392246281
2;451980;5884802;-4.527;-4.011201464
3;451972;5884804;-6.119;-5.492157283
4;451974;5884804;-5.738;-5.159268586
5;451976;5884804;-5.33;-4.800502503
6;451978;5884804;-4.953;-4.476257538
7;451980;5884804;-4.601;-4.182465016
8;451968;5884806;-7.098;-6.458129586
9;451970;5884806;-6.552;-5.960372232
10;451972;5884806;-6.129;-5.58605889
11;451974;5884806;-5.747;-5.255655201
12;451976;5884806;-5.395;-4.960253276
13;451978;5884806;-5.043;-4.671194807
14;451980;5884806;-4.691;-4.388605033
15;451966;5884808;-7.53;-6.925508046
16;451968;5884808;-6.984;-6.427826213
17;451970;5884808;-6.541;-6.035416073
18;451972;5884808;-6.189;-5.738503663
19;451974;5884808;-5.837;-5.44767345
20;451976;5884808;-5.485;-5.163427701
21;451978;5884808;-5.133;-4.884655689
22;451980;5884808;-4.781;-4.608067165
23;451962;5884810;-8.508;-7.89062659
24;451964;5884810;-7.976;-7.406758179
25;451966;5884810;-7.506;-6.986503366
26;451968;5884810;-7.036;-6.570196669
27;451970;5884810;-6.631;-6.224633757
28;451972;5884810;-6.279;-5.938655537
29;451974;5884810;-5.927;-5.658639362
30;451976;5884810;-5.575;-5.381931902
31;451978;5884810;-5.223;-5.103344357
32;451960;5884812;-9;-8.41780707
33;451962;5884812;-8.53;-7.996877057
34;451964;5884812;-8.06;-7.579307289
35;451966;5884812;-7.59;-7.167074898
36;451968;5884812;-7.12;-6.761322739
37;451970;5884812;-6.721;-6.43287487
38;451972;5884812;-6.369;-6.155677366
39;451974;5884812;-6.017;-5.878259027
40;451976;5884812;-5.665;-5.593410423
41;451978;5884812;-5.313;-5.291373937
42;451956;5884814;-9.865;-9.269924176
43;451958;5884814;-9.406;-8.859494406
44;451960;5884814;-9.083;-8.587805677
45;451962;5884814;-8.613;-8.17398856
46;451964;5884814;-8.143;-7.766452999
47;451966;5884814;-7.673;-7.365429111
48;451968;5884814;-7.203;-6.96942255
49;451970;5884814;-6.813;-6.65465499
50;451972;5884814;-6.459;-6.370659106
51;451974;5884814;-6.107;-6.074299929
52;451976;5884814;-5.755;-5.75253796
53;451978;5884814;-5.403;-5.394150057
54;451952;5884816;-10.43;-9.822060213
55;451954;5884816;-10.024;-9.464310452
56;451956;5884816;-9.655;-9.145657765
57;451958;5884816;-9.311;-8.856359699
58;451960;5884816;-9.167;-8.773060331
59;451962;5884816;-8.697;-8.370356363
60;451964;5884816;-8.227;-7.973271927
61;451966;5884816;-7.757;-7.57869094
62;451968;5884816;-7.287;-7.18088786
63;451970;5884816;-6.904;-6.858403795
64;451972;5884816;-6.549;-6.541582195
65;451974;5884816;-6.197;-6.194025199
66;451976;5884816;-5.845;-5.802987001
67;451950;5884818;-11.076;-10.50327848
68;451952;5884818;-10.438;-9.914825846
69;451954;5884818;-9.814;-9.344167269
70;451956;5884818;-9.445;-9.034149882
71;451958;5884818;-9.076;-8.730699024
72;451960;5884818;-8.836;-8.562315777
73;451962;5884818;-8.78;-8.581511218
74;451964;5884818;-8.31;-8.185290859
75;451966;5884818;-7.84;-7.779908749
76;451968;5884818;-7.37;-7.355195605
77;451970;5884818;-6.996;-6.995752922
78;451972;5884818;-6.639;-6.612115446
79;451974;5884818;-6.287;-6.185598369
80;451976;5884818;-5.935;-5.711074751
81;451946;5884820;-11.398;-10.81235046
82;451948;5884820;-11.107;-10.57026912
83;451950;5884820;-10.811;-10.3263849
84;451952;5884820;-10.403;-9.975718742
85;451954;5884820;-9.719;-9.355488394
86;451956;5884820;-9.235;-8.941630663
87;451958;5884820;-8.866;-8.647245543
88;451960;5884820;-8.641;-8.497050182
89;451962;5884820;-8.632;-8.556033375
90;451964;5884820;-8.393;-8.368598109
91;451966;5884820;-7.923;-7.922501988
92;451968;5884820;-7.453;-7.437769036
93;451970;5884820;-7.087;-7.010408429
94;451972;5884820;-6.73;-6.543307867
95;451974;5884820;-6.377;-6.037290087
96;451976;5884820;-6.025;-5.50331584
97;451944;5884822;-11.439;-10.8889442
98;451946;5884822;-11.119;-10.61998157
99;451948;5884822;-10.828;-10.38475672
100;451950;5884822;-10.537;-10.15574549
101;451952;5884822;-10.137;-9.824280035
102;451954;5884822;-9.727;-9.488008995
103;451956;5884822;-9.025;-8.861334703
104;451958;5884822;-8.656;-8.562989093
105;451960;5884822;-8.391;-8.355013819
106;451962;5884822;-8.268;-8.264460655
107;451964;5884822;-8.428;-8.421041661
108;451966;5884822;-8.007;-7.951673639
109;451968;5884822;-7.537;-7.384412652
110;451970;5884822;-7.178;-6.882843463
111;451972;5884822;-6.821;-6.349858439
112;451974;5884822;-6.467;-5.805145308
113;451940;5884824;-12.184;-11.62080561
114;451942;5884824;-11.719;-11.20592216
115;451944;5884824;-11.271;-10.8122471
116;451946;5884824;-10.84;-10.44148188
117;451948;5884824;-10.549;-10.21731491
118;451950;5884824;-10.258;-9.998902204
119;451952;5884824;-9.872;-9.688299311
120;451954;5884824;-9.464;-9.35297802
121;451956;5884824;-9.008;-8.958667508
122;451958;5884824;-8.446;-8.436832366
123;451960;5884824;-8.141;-8.139058174
124;451962;5884824;-7.97;-7.932385464
125;451964;5884824;-8.064;-7.942216546
126;451966;5884824;-8.09;-7.836958285
127;451968;5884824;-7.626;-7.204325263
128;451970;5884824;-7.27;-6.659465939
129;451972;5884824;-6.913;-6.114820309
130;451974;5884824;-6.557;-5.593565887
131;451938;5884826;-12.448;-11.9211681
132;451940;5884826;-11.999;-11.52516734
