451913.7237857745;5885059.348336109
451956.6619978332;5885033.343503454
452029.838387398;5884991.614818496
452066.7289639555;5884974.076675542
452067.3337275056;5884957.143296138
452018.9526434958;5884868.243054271
451990.52875664004;5884855.543019718
451974.20014078676;5884828.328659963
451979.0382491877;5884802.928590857
451887.71895311924;5884859.171601019
451933.07621937845;5884919.043192481
451853.2474307623;5884983.148128794
451860.50459336373;5885001.291035297
451920.37618482584;5885036.972084755
